A_07_P047106	Z5467
A_07_P031316	c_0674
A_07_P038909	c_1752
A_07_P059559	ECs0220
A_07_P004381	b0786
A_07_P048783	ABH-0244060
A_07_P062643	ECs1330
A_07_P032229	c_2670
A_07_P057407	ECs4558
A_07_P004040	b4302
A_07_P011177	b4088
A_07_P053132	ECs3104
A_07_P049176	Z0082
A_07_P052217	Z5165
A_07_P009817	b0650
A_07_P007419	b3496
A_07_P006336	b2874
A_07_P004834	b0876
A_07_P051352	Z1443
A_07_P017479	b4356
A_07_P061760	ECs5284
A_07_P030574	c_3242
A_07_P036170	c_0305
A_07_P043951	Z0666
A_07_P018903	b1771
A_07_P032050	c_2574
A_07_P049011	ABH-0244151
A_07_P047585	Z5948
A_07_P062787	ECs2291
A_07_P059219	ACA-0244240
A_07_P051102	Z1340
A_07_P003442	b2136
A_07_P010515	b2258
A_07_P007714	b3557
A_07_P050226	Z1794
A_07_P036710	c_3717
A_07_P014522	b1308
A_07_P045645	Z4230
A_07_P011001	b0063
A_07_P014801	b1365
A_07_P020231	b1517
A_07_P040505	c_1242
A_07_P052425	Z1869
A_07_P057893	ECs4855
A_07_P017657	b4395
A_07_P047443	Z5890
A_07_P047017	Z5404
A_07_P045511	Z3467
A_07_P039409	c_4848
A_07_P011975	b2966
A_07_P051622	Z1536
A_07_P031254	c_0639
A_07_P013486	b2486
A_07_P009069	b1393
A_07_P050602	Z1896
A_07_P047969	Z2149
A_07_P017645	b4392
A_07_P032291	c_2729
A_07_P061597	ECs5181
A_07_P053369	ECs3265
A_07_P061616	ECs5230
A_07_P006024	b2805
A_07_P011655	b4187
A_07_P033053	c_3569
A_07_P048322	Z2372
A_07_P046313	Z0890
A_07_P003616	b4213
A_07_P048992	ABH-0244147
A_07_P038279	c_1496
A_07_P011315	b4115
A_07_P002814	b0171
A_07_P018288	b3454
A_07_P057923	ECs4893
A_07_P007633	b3540
A_07_P012510	b3206
A_07_P031310	c_0669
A_07_P003600	b4209
A_07_P050409	Z1843
A_07_P021200	b0417
A_07_P032492	c_2882
A_07_P038155	c_1462
A_07_P053100	ECs3042
A_07_P030017	c_2935
A_07_P030238	c_3118
A_07_P019645	b2548
A_07_P030207	c_3064
A_07_P031135	c_0530
A_07_P008499	b3959
A_07_P004240	b0757
A_07_P008036	b0267
A_07_P036159	c_0301
A_07_P040889	c_1413
A_07_P051830	Z5455
A_07_P013396	b2468
A_07_P030200	c_3045
A_07_P052951	ECs2994
A_07_P030399	c_3173
